509	Enfield - Youth Employment	sjl44
511	Groton - RYS	sjl44
512	Groton - RYS - Summer	sjl44
513	Groton - Youth Employment	sjl44
514	JYC-RYS Youth Employment Coordination	sjl44
515	JYC RYS Youth Employment-Youth Wages	sjl44
516	JYC/Caroline RYS Dewitt Youth Development	sjl44
517	Caroline - Youth Employment	sjl44
518	Lansing - RYS,	sjl44
520	Trumansburg/Ulysses - RYS	sjl44
521	Big Friend / Little Friend in T-burg	sjl44
522	Van #2	sjl44
524	RYS Girls Ventures	sjl44
525	JYC Caroline RYS Boynton	sjl44
542	PP Arnot Improvements	ks47/drj4
543	PP - AS	drj4
544	Primitive Pursuits School Break	drj4
545	Primitive Pursuits WY	drj4
546	Primitive Pursuits WSI	drj4
547	Primtive Pursuits Teens	drj4
548	Primitive Pursuits Homeschool	drj4
549	Primitive Pursuits Arnott	drj4
550	Primitive Pursuits -Summer	drj4
553	2011 Triad Fnd-PP NFP Fee for Service prj	drj4
554	Primitive Pursuits-Main Acct	drj4
556	Primitive Pursuits Adult Programs	drj4
557	Primitive Pursuits Preschool Programs	drj4
558	Primitive Pursuits Lily Glidden Scholarship Fnd	drj4
559	Primitive Pursuits-LI	drj4
560	Mentor Student Program	met38
567	2015-2016 4H Tech Wizards OJJDP	met38
568	2015-2016 4H Tech Wizards CORNELL	met38
570	Urban Outreach	rlc263
571	Urban Outreach - Summer	rlc263
163	Park Energy Efficiency	ska2
164	NYSERDA Woodstove Changeout	ska2
165	Cost to Live	ska2
191	Way2Go 10/01/09-	ska2
193	Regional Way 2 Go	ska2
259	Radon 07/01/11 - 06/30/15	ska2
609	Energy Smart Community	ska2
610	2015 NAACC Wildlife Mngmt Inst.	ska2
613	NYS WQIP	ska2
640	NYOCFS Energy Warriors 4/1/14-3/31/15	ska2
641	14 Neighbor Energy Teams-NYSERDA	ska2/gm52
642	14 ST Bulk Pellet-NYSERDA	ska2
644	Flood Resiliency	ska2
645	2030 District	ska2
646	2015 Renewable NY	ska2
647	2015 Smart Trips	ska2
648	NYS Wood Energy Team	ska2/acm1
750	Compost / Master Composter	ska2
801	Administration	ks47
810	Unsupported Salaries	ks47
811	Capital Campaign Funds	ks47
812	Program Support Fees	ks47
813	IT Support Fees	ks47
853	Fundraising External of Tompkins-Weaver	ks47
868	History Center	ks47
869	Ken's Suspense Account	ks47
870	Sciencenter IT Support Enterprise Acct.	ks47
888	Peaks -Fundraising Acct	ks47
998	CEO Energy DIY	ks47/kwb6
802	Ag/Env. Programs- General	mr55
910	Ag/Env. Roth Suspense Account	mr55
911	Demonstration Gardens	mr55
913	Buy Local	mr55
914	MG Operations	mr55
915	Master Gardeners Trips/Training	mr55
916	Garden Fair,  MG	mr55
917	Garden Fair, Ag	mr55
918	Horticulture  classes	mr55
919	Agri-business Classes	mr55
920	Ag in the Classroom, AITC (MR)	mr55
921	Van #5-Flower Van-Ford	mr55
923	Edible Garden	mr55
804	Food and Nutrition Education	ljp9
871	Teaching Kitchen Enterprise Acct.	ljp9
924	ABC Café Fundraiser	ljp9
925	Food/Nutrition Kaltman Suspense Acct	ljp9
805	Consumer Finance Education	ljp9
950	Consumer Fin. Ed. Fisher Suspense Acct	ljp9
951	Serv Safe	ljp9
952	Food Preservation	ljp9
807	4-H Youth Dev. General	met38
969	4H In and Out	met38
970	4-H Tifft Suspense Account	met38
971	4-H Acres	met38
972	$5 Raffle  (Gambling income/expense only)	met38
973	Duck Events & Other Fundraising	met38
974	4-H Youth Fair	met38
975	4-H Camperships	met38
976	4-H Private Support	met38
979	4-H Animal Science P	met38
981	4-H Consumer and Family Science P  (CFSP)	met38
982	4-H Horse Program	met38
983	CFF Workshops	met38
984	4-H Teen Program P	met38
985	4-H Club Membership Fees	met38
986	4-H Public Presentations	met38
987	4-H Judy Taylor Scholarship Fund	met38
988	Natural Resources-PEST	met38
989	State Fair	met38
806	Family Education, FCD	met38
933	Family Ed Potter Suspense Account	met38
934	Parents Apart-Helping Children Cope	met38
935	Facilitator Training for PSWS program  FT	met38
940	Family Development Credential Training	met38
808	Environment	ska2
990	Environment Anderson Suspense Account	ska2
991	Environmental classes	ska2
992	Compost Classes	ska2
997	Hydrilla Awareness Donations	ska2
872	2013 Diversity Consortium	fb29
020	FL ESNY 2017	ljp9
028	EFNEP 2017	ljp9
078	HFFA United Way Feeing Change-single moms project	ljp9
366	Regional EFNEP 2017	hmg2
585	Park Urban	rlc263
614	Clean Energy Communities	ska2
